"","term","estimate","std.error","statistic","p.value"
"1","n_disp",-0.00241218346011378,0.00107623446179033,-2.24131780365134,0.0250072537279414
"2","rec_l",0.153672997348527,0.0316100165166791,4.86152853692567,0.00000116624582889497
"3","disp_dist_mt2",0.146748535777773,0.0492182888510374,2.98158548790508,0.00286815506089027
"4","disp_dist_mt2Xrec_l",-0.147500136000352,0.049214319908773,-2.99709792340457,0.00272616938496503
"5","d_2012",0.0243325970367889,0.00942623482524599,2.58136970783071,0.00984204710815601
"6","d_2013",0.0817405820972646,0.016999722484546,4.80834802871474,0.00000152360233315637
"7","d_2014",0.142132574994061,0.0182815723632235,7.77463623861945,0.00000000000000762406487702832
"8","d_2015",0.231133839885094,0.0206279333575357,11.2048956082485,0.000000000000000000000000000039842427032314
"9","d_2016",0.261983800607039,0.0233732743367071,11.2086906110369,0.0000000000000000000000000000381723852375707
