"","term","estimate","std.error","statistic","p.value"
"1","n_disp",-0.00226248673174996,0.00117721285966383,-1.92190113553129,0.0546204817612402
"2","rec_l",0.180796929311879,0.0323197102470068,5.59401454809215,0.0000000222343219761461
"3","disp_dist_mt1",0.160911550223481,0.0367234820263636,4.38170732579124,0.0000117849153374268
"4","disp_dist_mt1Xrec_l",-0.161178747638503,0.0366403894307345,-4.39893653268063,0.0000108872877113455
"5","d_2012",0.0243195744756247,0.00942471283358338,2.5804048255949,0.00986959113769292
"6","d_2013",0.0811226464341821,0.0170020209500823,4.77135316280089,0.00000183199641762693
"7","d_2014",0.121522662727502,0.0192068363725421,6.32705253329643,0.000000000250734584860589
"8","d_2015",0.195148025020281,0.0226938380098404,8.59916356746981,0.00000000000000000812105598321906
"9","d_2016",0.219104205350627,0.0259405993751362,8.44638175788013,0.000000000000000030364617843216
