"","term","estimate","std.error","statistic","p.value"
"1","n_disp",-0.00191655140339876,0.00143837958149423,-1.33243785441378,0.182718792008995
"2","rec_l",0.228945283518613,0.0361249749844628,6.33759009153865,0.000000000234182308341247
"3","disp_dist_m",0.208181909038955,0.046504951033904,4.4765536660211,0.00000759248888398667
"4","disp_dist_mXrec_l",-0.207345524114988,0.0461489513714434,-4.49296285079386,0.00000703022182994419
"5","d_2012",0.0243278826567318,0.00942597058410113,2.58094192419461,0.00985425037888291
"6","d_2013",0.0792519798190948,0.0170103853619019,4.65903494441668,0.00000318023669281489
"7","d_2014",0.0881905030653587,0.0226007102480829,3.90211201760084,0.0000954071861584129
"8","d_2015",0.126155677808057,0.0323847887580727,3.89552264028924,0.0000980384430190975
"9","d_2016",0.125121364767032,0.0399538030763826,3.131650935152,0.00173866701360526
