"","b","se"
"ATE","",""
"r1vs0.treat2","-11195.04","1741.326"
"","b","se"
"ATE","",""
"r1vs0.treat2","-13507.18","2800.199"
"","b","se"
"ATE","",""
"r1vs0.treat2","-13507.18","2800.199"
